# tcksift /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_500k.tck /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/wm_fod.mif /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_sift_100k.tck -term_number 100000 -csv /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_iterations.csv -out_mu /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_mu.txt -nthreads 12 -force  (version=3.0.3)
#Iteration,Removed this iteration,Total removed,Remaining,Cost,TD,Mu,Recalculation,
282,188,219171,280829,11180.417417221512,14921239.434735112,0.018757862166345295,Non-linearity,
283,230,219401,280599,11173.320147125349,14905657.317783169,0.018777471311773299,Quantisation,
284,98,219499,280501,11170.167843614116,14898800.880184941,0.01878611271595992,Quantisation,
285,170,219669,280331,11164.645982355585,14886627.984432034,0.018801474246585452,Non-linearity,
286,21,219690,280310,11163.929467066253,14885092.917181782,0.018803413201722175,Non-linearity,
287,166,219856,280144,11159.791127454093,14876011.704405598,0.01881489193672161,Quantisation,
288,79,219935,280065,11157.242329074692,14870393.844411664,0.018821999981727507,Non-linearity,
289,146,220081,279919,11152.993176409431,14861051.904950909,0.018833831848373572,Non-linearity,
290,37,220118,279882,11151.957849397473,14858768.44023972,0.018836726192583537,Non-linearity,
291,189,220307,279693,11146.436464397588,14846509.080493741,0.018852280435104753,Non-linearity,
292,11,220318,279682,11146.078705915403,14845738.662195019,0.018853258772535467,Non-linearity,
293,147,220465,279535,11142.297751529284,14837209.264371686,0.018864096858153316,Non-linearity,
294,89,220554,279446,11139.633324648494,14831357.047410779,0.018871540329929538,Non-linearity,
295,127,220681,279319,11135.891194021435,14823067.433632664,0.018882094001187774,Non-linearity,
296,44,220725,279275,11134.673099091229,14820393.26654797,0.018885501054790196,Non-linearity,
297,111,220836,279164,11131.471552574281,14813324.821462445,0.018894512612204033,Non-linearity,
298,195,221031,278969,11125.800528423308,14800606.513146214,0.018910748854730545,Quantisation,
299,63,221094,278906,11123.932302470992,14796472.558560185,0.018916032288105889,Quantisation,
300,101,221195,278805,11121.237414950498,14790501.263878636,0.018923669162677126,Quantisation,
301,147,221342,278658,11117.326800325529,14781680.445156865,0.018934961671391141,Quantisation,
302,194,221536,278464,11111.031917317494,14767380.76989346,0.018953296933902821,Quantisation,
303,54,221590,278410,11109.397083155151,14763778.455748372,0.018957921476992906,Non-linearity,
304,134,221724,278276,11105.980038763953,14756046.948840909,0.018967854577731785,Non-linearity,
305,125,221849,278151,11102.082832724846,14747300.610446744,0.018979104044948222,Non-linearity,
306,200,222049,277951,11096.756027282563,14735240.514706425,0.018994637541779789,Non-linearity,
307,145,222194,277806,11093.077782717628,14726901.500910573,0.019005393133816464,Quantisation,
308,124,222318,277682,11089.345833305144,14718410.686906628,0.01901635703892849,Quantisation,
309,91,222409,277591,11086.874267862444,14712891.222874455,0.019023490925607144,Non-linearity,
310,210,222619,277381,11080.241324933446,14697695.495227627,0.019043159028480229,Non-linearity,
311,9,222628,277372,11079.966312376253,14697088.390867047,0.019043945659449436,Quantisation,
312,119,222747,277253,11076.652329117096,14689607.9474371,0.019053643478390433,Non-linearity,
313,56,222803,277197,11075.076002608117,14686090.872412495,0.0190582065097776,Non-linearity,
314,177,222980,277020,11070.553802633545,14675778.774605088,0.019071597968764613,Non-linearity,
315,75,223055,276945,11068.312462027106,14670700.900286011,0.019078199096972975,Non-linearity,
316,51,223106,276894,11066.98109459377,14667680.215922646,0.019082128090300143,Non-linearity,
317,165,223271,276729,11062.734131486819,14657925.73845797,0.019094826762114703,Quantisation,
318,138,223409,276591,11058.948286339364,14649192.793710999,0.019106209919495097,Quantisation,
319,225,223634,276366,11052.448745265268,14633965.736486726,0.019126090473886293,Non-linearity,
320,204,223838,276162,11046.57925116877,14620404.564086251,0.019143830900228569,Quantisation,
321,13,223851,276149,11046.118623584391,14619381.919719033,0.019145170035558955,Quantisation,
322,141,223992,276008,11042.247392203377,14610570.436964326,0.019156716288070592,Non-linearity,
323,130,224122,275878,11038.742763139002,14602555.001060776,0.019167231532253436,Quantisation,
324,157,224279,275721,11034.520950737242,14592736.315522484,0.019180128155270919,Non-linearity,
325,104,224383,275617,11031.790154064112,14586460.523238473,0.019188380362863803,Non-linearity,
326,71,224454,275546,11030.155387152196,14582695.278250985,0.01919333479355036,Non-linearity,
327,114,224568,275432,11026.929208442176,14575239.72203856,0.019203152607129157,Quantisation,
328,168,224736,275264,11022.005376464098,14563734.740428261,0.019218322611358325,Quantisation,
329,74,224810,275190,11019.758424907604,14558553.806515984,0.019225161811231989,Quantisation,
330,155,224965,275035,11016.383657403634,14550720.356898598,0.019235511768673302,Quantisation,
331,185,225150,274850,11011.016232385991,14538030.918542199,0.019252301376716512,Non-linearity,
332,73,225223,274777,11009.088848384119,14533574.743876748,0.019258204371620274,Quantisation,
333,127,225350,274650,11005.453847045434,14525079.925774865,0.019269467300563992,Quantisation,
334,89,225439,274561,11003.203339203488,14519882.640031151,0.019276364665382496,Non-linearity,
335,92,225531,274469,11000.657788233475,14513916.82267981,0.019284288044866923,Non-linearity,
336,97,225628,274372,10997.960295727315,14507595.029238991,0.019292691318147381,Quantisation,
337,68,225696,274304,10995.985782091631,14503042.602554612,0.019298747189675662,Non-linearity,
338,104,225800,274200,10993.056230313157,14496171.672440819,0.019307894456017442,Non-linearity,
339,168,225968,274032,10988.224474533301,14484809.85229712,0.019323039482179317,Quantisation,
340,55,226023,273977,10986.528920086463,14480902.50304728,0.019328253374325158,Quantisation,
341,116,226139,273861,10983.206019461708,14473122.013261132,0.019338643895307792,Quantisation,
342,65,226204,273796,10981.519185672636,14469198.174807839,0.019343888257409559,Quantisation,
343,43,226247,273753,10980.636595199858,14467161.464288048,0.019346611521458612,Non-linearity,
344,89,226336,273664,10977.927485793864,14460843.206478409,0.019355064478011018,Quantisation,
345,81,226417,273583,10976.175300904377,14456785.957463555,0.019360496412641363,Non-linearity,
346,79,226496,273504,10974.439447172132,14452734.595814995,0.019365923508264219,Non-linearity,
347,125,226621,273379,10971.012005059472,14444553.947202019,0.019376891366175649,Quantisation,
348,32,226653,273347,10970.150431809205,14442553.676401429,0.019379575034928032,Quantisation,
349,96,226749,273251,10967.639135725507,14436640.104195885,0.019387513344358388,Quantisation,
350,89,226838,273162,10964.912720315242,14430206.199322037,0.01939615753245072,Quantisation,
351,78,226916,273084,10962.527390869469,14424558.662129693,0.019403751561746094,Quantisation,
352,42,226958,273042,10961.389350372016,14421908.860996537,0.019407316698883723,Quantisation,
353,280,227238,272762,10954.199797600839,14404695.145230584,0.019430508583895258,Non-linearity,
354,8,227246,272754,10953.944026112176,14404104.741284661,0.019431305013048284,Quantisation,
355,28,227274,272726,10953.039961976441,14402004.557244591,0.019434138598921968,Non-linearity,
356,175,227449,272551,10948.329415746626,14390840.04586821,0.019449215735544031,Quantisation,
357,53,227502,272498,10946.885312418421,14387452.805128388,0.019453794668089587,Non-linearity,
358,139,227641,272359,10943.359017304569,14378997.805942826,0.019465233700231784,Non-linearity,
359,59,227700,272300,10941.603658460055,14374812.541794114,0.019470901053772225,Non-linearity,
360,12,227712,272288,10941.273673303567,14374043.341150574,0.019471943003435615,Quantisation,
361,35,227747,272253,10940.304848139442,14371742.337575249,0.019475060580234377,Non-linearity,
362,75,227822,272178,10938.310562812703,14367006.782209687,0.019481479817659641,Quantisation,
363,65,227887,272113,10936.674522278963,14363157.50589209,0.019486700786577032,Non-linearity,
364,29,227916,272084,10935.675524607921,14360775.294351868,0.019489933303105084,Non-linearity,
365,120,228036,271964,10932.659529069073,14353577.777908616,0.019499706414561859,Non-linearity,
366,135,228171,271829,10929.312163677354,14345553.52003222,0.019510613673913404,Quantisation,
367,119,228290,271710,10926.074269376131,14337827.205013566,0.019521127480872886,Quantisation,
368,53,228343,271657,10924.600414049588,14334309.507624917,0.019525918044319728,Non-linearity,
369,76,228419,271581,10922.780190551299,14329993.897637658,0.019531798454843582,Non-linearity,
370,109,228528,271472,10920.466015397305,14324475.050749116,0.019539323547717723,Non-linearity,
371,119,228647,271353,10917.166188505031,14316519.020888619,0.019550182014176833,Non-linearity,
372,57,228704,271296,10915.792108084594,14313254.146988206,0.019554641438871659,Quantisation,
373,78,228782,271218,10914.062669489023,14309091.112443261,0.019560330594610785,Non-linearity,
374,151,228933,271067,10909.967000534885,14299084.781921677,0.019574018682766509,Quantisation,
375,116,229049,270951,10907.25768032493,14292448.269718461,0.019583107623401642,Non-linearity,
376,41,229090,270910,10906.030696671398,14289488.100932412,0.019587164403008523,Quantisation,
377,55,229145,270855,10904.301042266334,14285275.229868226,0.019592940854411458,Quantisation,
378,97,229242,270758,10901.930680967571,14279534.558872513,0.019600817625661942,Quantisation,
379,88,229330,270670,10899.31319265968,14273148.915372185,0.01960958680717995,Quantisation,
380,40,229370,270630,10897.937272610468,14269808.894778542,0.019614176667089901,Non-linearity,
381,90,229460,270540,10895.685793354325,14264375.386805825,0.019621647992150337,Non-linearity,
382,53,229513,270487,10894.50556633505,14261508.678222947,0.019625592143360314,Quantisation,
383,122,229635,270365,10891.38624979104,14253984.742415719,0.019635951470813925,Quantisation,
384,49,229684,270316,10889.905837181799,14250422.85072165,0.019640859474820662,Non-linearity,
385,13,229697,270303,10889.537162950677,14249542.23041182,0.019642073278006503,Non-linearity,
386,44,229741,270259,10888.300979552672,14246569.668876939,0.019646171616964483,Quantisation,
387,53,229794,270206,10887.254977201193,14244059.156220727,0.019649634250891342,Non-linearity,
388,18,229812,270188,10886.811389383396,14242993.787355714,0.019651104033779149,Quantisation,
389,107,229919,270081,10884.062708038093,14236299.448067956,0.019660344578224073,Non-linearity,
390,35,229954,270046,10882.679777969064,14232952.008918099,0.019664968482464008,Non-linearity,
391,76,230030,269970,10880.671554885834,14228098.274017625,0.019671676936538603,Non-linearity,
392,52,230082,269918,10879.492032524378,14225267.625010781,0.019675591352369026,Non-linearity,
393,97,230179,269821,10877.14803600895,14219577.364908509,0.019683464950127093,Quantisation,
394,135,230314,269686,10873.678085874644,14211035.40475779,0.019695296274759199,Quantisation,
395,93,230407,269593,10871.745720791769,14206307.495674424,0.01970185093860731,Quantisation,
396,68,230475,269525,10869.87711747327,14201678.148709588,0.019708273186942276,Quantisation,
397,55,230530,269470,10868.28132500241,14197743.815686516,0.019713734541297847,Quantisation,
398,80,230610,269390,10866.375920280523,14193055.631852441,0.019720246289999684,Quantisation,
399,96,230706,269294,10863.656446127623,14186375.491689973,0.019729532242520307,Quantisation,
400,175,230881,269119,10859.449810138231,14175940.165689759,0.019744055730795233,Quantisation,
401,61,230942,269058,10857.585388032432,14171358.041725449,0.019750439713942816,Non-linearity,
402,78,231020,268980,10855.793203492594,14166940.551807694,0.019756598232642638,Non-linearity,
403,128,231148,268852,10852.367725246993,14158494.352335267,0.019768383961083599,Quantisation,
404,105,231253,268747,10849.838822125143,14152238.211563401,0.019777122776177297,Quantisation,
405,66,231319,268681,10847.838935471716,14147291.371218018,0.019784038182547158,Quantisation,
406,37,231356,268644,10846.80249994009,14144763.193677239,0.019787574301202107,Non-linearity,
407,43,231399,268601,10845.819937820521,14142354.501995377,0.019790944473093697,Quantisation,
408,120,231519,268481,10842.975616100966,14135357.155793481,0.019800741472816765,Non-linearity,
409,189,231708,268292,10837.727699211826,14122343.014357857,0.019818988420210369,Quantisation,
410,61,231769,268231,10836.221317557893,14118647.924588494,0.019824175385827886,Non-linearity,
411,100,231869,268131,10833.691576653988,14112409.175819688,0.019832939165862897,Non-linearity,
412,52,231921,268079,10832.371604018903,14109174.019601159,0.0198374867500365,Quantisation,
413,36,231957,268043,10831.3509198711,14106690.39998465,0.019840979331913439,Quantisation,
414,69,232026,267974,10829.686457003001,14102622.44055777,0.019846702543979279,Non-linearity,
415,96,232122,267878,10826.7890538511,14095412.527213387,0.019856854286983437,Quantisation,
416,79,232201,267799,10824.916010011259,14090818.564399056,0.019863328123104956,Non-linearity,
417,34,232235,267765,10823.917724038287,14088343.366689019,0.019866817934717604,Quantisation,
418,87,232322,267678,10822.120571390007,14083882.411771111,0.019873110587309974,Non-linearity,
419,85,232407,267593,10819.83344828694,14078148.943531327,0.019881204112164347,Quantisation,
420,78,232485,267515,10817.703851743545,14072827.017752938,0.019888722593883513,Quantisation,
421,63,232548,267452,10815.945758623686,14068429.502844147,0.019894939418164129,Quantisation,
422,124,232672,267328,10813.238459481281,14061635.864962868,0.019904551316479158,Quantisation,
423,128,232800,267200,10810.08664963806,14053613.077502541,0.01991591422961933,Quantisation,
424,46,232846,267154,10808.787401956342,14050343.583966546,0.019920548632504077,Quantisation,
425,45,232891,267109,10807.844077645052,14047981.356985383,0.019923898356301643,Quantisation,
426,41,232932,267068,10806.748475327986,14045257.196124367,0.019927762714450674,Quantisation,
427,33,232965,267035,10805.879179516094,14043088.196856789,0.019930840620259297,Quantisation,
428,131,233096,266904,10803.039100600565,14035889.756228738,0.01994106234295475,Quantisation,
429,102,233198,266802,10800.241029736066,14028815.797349267,0.019951117522027932,Non-linearity,
430,33,233231,266769,10799.217788839351,14026228.276767068,0.019954798050121975,Quantisation,
431,92,233323,266677,10796.989112328354,14020645.891948991,0.019962743144987166,Non-linearity,
432,73,233396,266604,10795.32721720964,14016474.822923951,0.019968683724243992,Quantisation,
433,45,233441,266559,10794.275401288074,14013849.160895638,0.0199724250956551,Quantisation,
434,69,233510,266490,10792.544877477967,14009488.589379601,0.019978641681465684,Quantisation,
435,136,233646,266354,10789.318030112205,14001319.093052201,0.019990298828821477,Quantisation,
436,60,233706,266294,10787.498936617241,13996753.833236031,0.019996818976924655,Quantisation,
437,40,233746,266254,10786.525744068285,13994292.611785226,0.02000033588207872,Quantisation,
438,90,233836,266164,10784.297484752513,13988687.720812134,0.020008349478799269,Quantisation,
439,124,233960,266040,10781.409183237478,13981412.81376677,0.020018760363917122,Quantisation,
440,60,234020,265980,10780.14164060351,13978236.337148003,0.020023309516091901,Non-linearity,
441,62,234082,265918,10778.70946713659,13974545.948250107,0.02002859725849233,Quantisation,
442,85,234167,265833,10776.367052195932,13968608.959477715,0.020037109885440038,Quantisation,
443,48,234215,265785,10775.385192067082,13966139.233189873,0.020040653182280359,Quantisation,
444,110,234325,265675,10772.92699988333,13959908.04068213,0.02004959859707792,Quantisation,
445,29,234354,265646,10772.080972041367,13957716.208715729,0.020052747059939712,Non-linearity,
446,24,234378,265622,10771.475750299791,13956189.796072297,0.02005494026360741,Quantisation,
447,19,234397,265603,10771.09762808159,13955237.029257111,0.020056309475862538,Quantisation,
448,66,234463,265537,10769.762261362002,13951829.965169244,0.020061207265752536,Quantisation,
449,51,234514,265486,10768.332705846757,13948198.186214738,0.020066430726831671,Non-linearity,
450,121,234635,265365,10765.793146151418,13941676.187856965,0.020075817921490571,Non-linearity,
451,44,234679,265321,10764.844284302322,13939265.581199937,0.020079289761527258,Quantisation,
452,105,234784,265216,10762.50096726535,13933255.14005404,0.020087951440951768,Quantisation,
453,97,234881,265119,10760.055590334772,13927002.918718629,0.020096969484483234,Quantisation,
454,70,234951,265049,10758.048088632755,13921859.051582627,0.020104394939695892,Quantisation,
455,104,235055,264945,10755.759437662538,13915977.835335068,0.020112891525100506,Quantisation,
456,15,235070,264930,10755.261356222112,13914687.660961442,0.020114756398955925,Non-linearity,
457,45,235115,264885,10754.301888732736,13912205.939419083,0.020118344559201105,Quantisation,
458,11,235126,264874,10754.01364914345,13911469.864322953,0.020119409048615221,Quantisation,
459,62,235188,264812,10752.401749136125,13907318.370306306,0.020125414922936912,Quantisation,
460,57,235245,264755,10751.157223505035,13904101.233682923,0.020130071549663169,Quantisation,
461,113,235358,264642,10748.405488337536,13896971.906068139,0.020140398538589725,Quantisation,
462,14,235372,264628,10747.919209083624,13895729.431819253,0.020142199374355078,Non-linearity,
463,108,235480,264520,10745.337719158932,13889090.375071816,0.02015182744941639,Quantisation,
464,43,235523,264477,10743.880759217966,13885301.692810349,0.02015732598829461,Quantisation,
465,53,235576,264424,10742.705646829434,13882307.870952897,0.020161673063989267,Quantisation,
466,49,235625,264375,10741.574241357792,13879419.505502991,0.020165868792770807,Quantisation,
467,105,235730,264270,10739.179395854977,13873191.445717148,0.020174921809660702,Quantisation,
468,25,235755,264245,10738.433348604754,13871250.723804764,0.020177744476024124,Quantisation,
469,11,235766,264234,10738.07135870508,13870332.326454453,0.020179080506526195,Non-linearity,
470,66,235832,264168,10736.837694326556,13867166.570173554,0.020183687219118347,Quantisation,
471,8,235840,264160,10736.525212713874,13866367.336159043,0.020184850572790777,Quantisation,
472,6,235846,264154,10736.274220099987,13865703.919510178,0.020185816334500575,Quantisation,
473,2,235848,264152,10736.250282519373,13865642.768055253,0.020185905359730659,Quantisation,
474,0,235848,264152,10736.250282519373,13865642.768055253,0.020185905359730659,Quantisation,
475,238,236086,263914,10730.086577113565,13849395.233406357,0.020209586624596324,Non-linearity,
476,192,236278,263722,10725.844297794087,13838250.911762528,0.020225861957011485,Non-linearity,
477,32,236310,263690,10724.826366453035,13835657.738006882,0.02022965282661851,Non-linearity,
478,71,236381,263619,10723.304514467805,13831727.438984208,0.020235401102463611,Non-linearity,
479,91,236472,263528,10721.451894456352,13826889.204128556,0.020242481771259507,Non-linearity,
480,120,236592,263408,10718.210260375328,13818331.559911065,0.020255017869147046,Non-linearity,
481,64,236656,263344,10716.495062995735,13813847.320955567,0.020261593035215037,Non-linearity,
482,82,236738,263262,10714.58550520951,13808779.019403748,0.020269029743650909,Non-linearity,
483,135,236873,263127,10711.482185113331,13800494.378533654,0.020281197541963454,Non-linearity,
484,47,236920,263080,10710.311679956549,13797464.96938353,0.02028565053717275,Non-linearity,
485,125,237045,262955,10707.707528941586,13790632.409982018,0.020295701048865977,Non-linearity,
486,96,237141,262859,10705.272855505857,13784203.923231415,0.020305166277762288,Non-linearity,
487,268,237409,262591,10698.786365054499,13766807.27147799,0.020330825234088457,Non-linearity,
488,99,237508,262492,10695.797472239157,13758995.419999413,0.020342368328792507,Non-linearity,
489,240,237748,262252,10690.278232991088,13744404.16562777,0.020363964075485502,Non-linearity,
490,90,237838,262162,10688.367406437357,13739481.943125062,0.020371259544312612,Non-linearity,
491,131,237969,262031,10685.286277270059,13731441.780729584,0.0203831875149913,Non-linearity,
492,135,238104,261896,10682.022315729966,13722793.203442864,0.020396033702349783,Non-linearity,
493,80,238184,261816,10679.947135836623,13717346.057273202,0.020404132949565258,Non-linearity,
494,163,238347,261653,10676.073702975642,13707069.267461114,0.02041943082116195,Non-linearity,
495,195,238542,261458,10671.523346801961,13694910.926183037,0.020437559190887456,Non-linearity,
496,102,238644,261356,10669.372634361185,13689232.360704713,0.020446037096369999,Non-linearity,
497,106,238750,261250,10666.973567285022,13682868.965777688,0.020455545789982588,Non-linearity,
498,153,238903,261097,10663.506227044256,13673666.554436021,0.020469312422789401,Non-linearity,
499,47,238950,261050,10662.24116183664,13670316.914475732,0.020474328021716622,Non-linearity,
500,56,239006,260994,10661.060163212413,13667195.939059548,0.020479003441217711,Non-linearity,
501,121,239127,260873,10658.137344184195,13659423.827036195,0.020490655844048695,Non-linearity,
502,214,239341,260659,10653.124467398222,13645845.309815697,0.020511045399764789,Non-linearity,
503,166,239507,260493,10649.050414250682,13634948.832878403,0.02052743696352478,Non-linearity,
504,251,239758,260242,10643.234040955867,13619112.764446549,0.020551305911679286,Non-linearity,
505,155,239913,260087,10639.681192164226,13609524.584823899,0.020565784713736851,Non-linearity,
506,60,239973,260027,10638.179716483926,13605529.357497506,0.020571823801442891,Non-linearity,
507,49,240022,259978,10637.185358819002,13602899.833434395,0.020575800461300003,Non-linearity,
508,129,240151,259849,10634.085613857736,13594317.510758691,0.020588790312296941,Non-linearity,
509,228,240379,259621,10628.916093679831,13579960.310778908,0.020610557487832852,Non-linearity,
510,74,240453,259547,10626.723841070474,13574096.216410927,0.020619461377429513,Non-linearity,
511,130,240583,259417,10624.274060740603,13567446.069860749,0.020629568101955233,Non-linearity,
512,183,240766,259234,10620.544408261665,13557047.853910737,0.020645390920196429,Non-linearity,
513,95,240861,259139,10617.926375858198,13549903.148996644,0.0206562769925424,Non-linearity,
514,23,240884,259116,10617.413513647756,13548525.320012383,0.020658377650471953,Non-linearity,
515,144,241028,258972,10614.444766343691,13540289.252997689,0.020670943392574286,Non-linearity,
516,151,241179,258821,10611.336451975178,13531526.927737527,0.020684328839051053,Non-linearity,
517,165,241344,258656,10607.693326712306,13521308.352301888,0.020699960785980315,Non-linearity,
518,152,241496,258504,10603.871424641837,13510524.411512665,0.020716483249850409,Non-linearity,
519,111,241607,258393,10601.44523364801,13503753.74087172,0.02072687032352007,Non-linearity,
520,119,241726,258274,10599.06461953498,13497236.370220475,0.020736878646159862,Non-linearity,
521,131,241857,258143,10595.808443579903,13488157.213997178,0.020750837065966584,Non-linearity,
522,114,241971,258029,10593.121225790443,13480680.995719247,0.020762345222520708,Non-linearity,
523,243,242214,257786,10588.057264284114,13466515.532523446,0.020784185188204317,Non-linearity,
524,35,242249,257751,10587.011677096687,13463662.934921555,0.020788588812768578,Non-linearity,
525,140,242389,257611,10584.357587310335,13456301.765382104,0.020799961055261714,Non-linearity,
526,172,242561,257439,10580.615364204828,13445739.408293061,0.020816300552066801,Non-linearity,
527,183,242744,257256,10576.740529358034,13434817.457681946,0.020833223342960831,Non-linearity,
528,93,242837,257163,10574.578849545551,13428837.627995782,0.020842500328121856,Non-linearity,
529,183,243020,256980,10570.624976023542,13417702.46227961,0.02085979723090722,Non-linearity,
530,111,243131,256869,10568.057869679958,13410494.72840815,0.020871008738767141,Non-linearity,
531,134,243265,256735,10565.210939924624,13402414.391159348,0.020883591903591771,Non-linearity,
532,143,243408,256592,10562.316891578357,13394105.337090783,0.020896547072295147,Non-linearity,
533,152,243560,256440,10558.475412661564,13383139.975550942,0.020913668479827355,Non-linearity,
534,88,243648,256352,10556.575418381706,13377820.203435235,0.020921984928151841,Non-linearity,
535,85,243733,256267,10554.905285044311,13373193.666991524,0.020929223014143506,Non-linearity,
536,47,243780,256220,10554.046906134494,13370809.643493943,0.020932954707345505,Non-linearity,
537,82,243862,256138,10552.570158787739,13366656.757795624,0.020939458365650112,Non-linearity,
538,163,244025,255975,10548.931837990014,13356052.208234124,0.020956084051187086,Non-linearity,
539,46,244071,255929,10547.815196246171,13352894.112078957,0.020961040379599033,Non-linearity,
540,55,244126,255874,10546.723245698631,13349811.096758179,0.020965881137881032,Non-linearity,
541,114,244240,255760,10544.029255048694,13342182.675737672,0.020977868424539647,Non-linearity,
542,297,244537,255463,10536.794488010948,13320724.44737082,0.021011661473339809,Non-linearity,
543,99,244636,255364,10534.694433006773,13314890.321465783,0.021020868059015686,Non-linearity,
544,74,244710,255290,10533.11941892785,13310492.064215951,0.02102781409714052,Non-linearity,
545,41,244751,255249,10532.370440578114,13308400.722782426,0.021031118501613592,Non-linearity,
546,116,244867,255133,10530.0348911401,13301715.592488579,0.021041688248533155,Non-linearity,
547,320,245187,254813,10523.026851813947,13280941.414989762,0.021074601861573904,Non-linearity,
548,7,245194,254806,10522.730693263926,13280151.210245423,0.021075855857112993,Non-linearity,
549,123,245317,254683,10519.980940419506,13272401.242639832,0.021088162386818255,Non-linearity,
550,99,245416,254584,10517.929692591044,13266625.197644524,0.021097343785478426,Non-linearity,
551,62,245478,254522,10516.653760827374,13263070.073828988,0.021102998861484118,Non-linearity,
552,218,245696,254304,10512.087487581124,13249863.048456483,0.021124033632966683,Non-linearity,
553,93,245789,254211,10509.946331237514,13243843.898190789,0.021133634224277772,Non-linearity,
554,107,245896,254104,10507.797877995299,13237730.406702332,0.021143394227615266,Non-linearity,
555,93,245989,254011,10505.95639207507,13232491.368559174,0.021151765368449524,Non-linearity,
556,95,246084,253916,10504.16556638532,13227309.338246636,0.021160051943330333,Non-linearity,
557,142,246226,253774,10500.728011658457,13217270.993688874,0.021176122726199863,Non-linearity,
558,82,246308,253692,10498.693445727691,13211483.980982117,0.021185398481404407,Non-linearity,
559,126,246434,253566,10496.230950442457,13204301.395153336,0.021196922449114312,Non-linearity,
560,93,246527,253473,10493.941421592413,13197716.34003859,0.021207498741178339,Non-linearity,
561,177,246704,253296,10490.594887687064,13187891.42198687,0.021223298229553458,Non-linearity,
562,69,246773,253227,10489.258409877302,13184052.585320763,0.021229477875371168,Non-linearity,
563,186,246959,253041,10485.351265681671,13172452.736901574,0.021248172854225256,Non-linearity,
564,119,247078,252922,10482.838837204587,13165092.824742608,0.021260051592022815,Non-linearity,
565,102,247180,252820,10480.818371659472,13159166.382198624,0.021269626398707581,Non-linearity,
566,178,247358,252642,10477.243795868157,13148535.388040833,0.021286823544040493,Non-linearity,
567,198,247556,252444,10473.240022969083,13136661.976023965,0.0213060633803802,Non-linearity,
568,24,247580,252420,10472.674404658246,13135026.630678467,0.021308716041281442,Non-linearity,
569,66,247646,252354,10471.307511278459,13131097.392559342,0.021315092280588484,Non-linearity,
570,132,247778,252222,10468.580815540632,13123089.323133759,0.021328099335146494,Non-linearity,
571,111,247889,252111,10466.139164453005,13115848.411715798,0.021339874012098487,Non-linearity,
572,120,248009,251991,10463.459444440485,13107930.856357865,0.021352763890422812,Non-linearity,
573,174,248183,251817,10459.738166140445,13096661.104022317,0.021371138066773043,Non-linearity,
574,130,248313,251687,10456.736862128955,13087979.658184342,0.021385313851154442,Non-linearity,
575,112,248425,251575,10454.656610539061,13081903.453172974,0.021395246775033384,Non-linearity,
576,105,248530,251470,10452.393127301817,13075174.711906724,0.02140625718851151,Non-linearity,
577,125,248655,251345,10449.624351183105,13066927.191520981,0.021419768287177402,Non-linearity,
578,16,248671,251329,10449.122360161475,13065463.636614136,0.021422167666782451,Non-linearity,
579,140,248811,251189,10446.47491096532,13057701.54060965,0.021434901984651228,Non-linearity,
580,44,248855,251145,10445.393403694212,13054521.645127587,0.021440123221386845,Non-linearity,
581,120,248975,251025,10442.918379438923,13047161.508751206,0.02145221797707221,Non-linearity,
582,57,249032,250968,10441.894821057138,13044128.616452508,0.021457205835487728,Non-linearity,
583,57,249089,250911,10440.637697158383,13040476.105763726,0.021463215790418044,Non-linearity,
584,90,249179,250821,10439.04203989495,13035736.125877671,0.021471020122306495,Non-linearity,
585,237,249416,250584,10434.095548352252,13020698.553275399,0.021495816950419286,Non-linearity,
586,193,249609,250391,10430.03601970817,13008477.542585663,0.021516011520296942,Non-linearity,
587,252,249861,250139,10425.146304429734,12993724.910975747,0.021540440065140581,Non-linearity,
588,103,249964,250036,10422.794998937861,12986605.174669556,0.021552249329464888,Non-linearity,
589,69,250033,249967,10421.408419619393,12982454.43415194,0.021559139998328109,Non-linearity,
590,63,250096,249904,10420.400844700982,12979416.746171288,0.021564185675011956,Non-linearity,
591,130,250226,249774,10418.252181685399,12972920.777023606,0.021574983573746362,Non-linearity,
592,106,250332,249668,10416.174620140666,12966656.961527161,0.021585405821889871,Non-linearity,
593,78,250410,249590,10414.516520985218,12961585.860136323,0.021593850913614474,Non-linearity,
594,83,250493,249507,10412.908843077777,12956711.6867631,0.021601974284396586,Non-linearity,
595,24,250517,249483,10412.306710524424,12954904.681927972,0.021604987419030813,Non-linearity,
596,189,250706,249294,10408.611919118333,12943459.926261239,0.021624090796613184,Non-linearity,
597,109,250815,249185,10406.159362319875,12935852.088652901,0.021636808364043695,Non-linearity,
598,90,250905,249095,10404.438372259545,12930670.277325921,0.021645479055992053,Non-linearity,
599,86,250991,249009,10403.12370786041,12926689.225464158,0.021652145246630016,Non-linearity,
600,139,251130,248870,10400.572574121699,12918817.353243165,0.02166533863082544,Non-linearity,
